language,stocknumber,script,smstk,file_name
Hanunoo,N2HNN/OMF,Latn,HNNOMF,Base_HANUNOO_N2_HNN_OMF.XLSX
Hdi,N2XED/WYI,Latn,XEDWYI,Base_HDI_N2_XED_WYI.XLSX
Hehe,N2HEH/BST,Latn,HEHBST,Base_N_KIHEHE_N2_HEH_BST.XLSX
Hmong Daw,N2MWW/HDV,Latn,MWWHDV,Base_HMONG_DAW_N2_MWW_HDV.XLSX
Huambisa,N2HUB/WBT,Latn,HUBWBT,Base_HUAMBISA_N2_HUB_WBT.XLSX
Huli,N2HUI/PNG,Latn,HUIPNG,Base_HULI_N2_HUI_PNG.XLSX
IfÃ¨,N2IFE/WBT,Latn,IFEWBT,Base_IFE_N2_IFE_WBT.XLSX
Ika,N2IKK/TBL,Latn,IKKTBL,Base_IKA_N2IKKTBL_R.XLSX
Indonesian,N2INZ/TSI,Latn,INZTSI,Base_N2_INZ_TSI.XLSX
Irigwe,N2IRI/WYI,Latn,IRIWYI,Base_IRIGWE_N2_IRI_WYI.XLSX
Islander Creole English,N2ICR/WYI,Latn,ICRWYI,Base_ISLANDER_CREOLE_N2_ICR_WYI.XLSX
Itawit,N2ITV/STP,Latn,ITVSTP,Base_ITAWIT_N2_ITV_STP.XLSX
Ivbie North-Okpela-Arhe,N2ATG/WYI,Latn,ATGWYI,Base_OKPHELA_N2_ATG_WYI.XLSX
Ixil,N2IXJ/WBT,Latn,IXJWBT,Base_IXIL_CHAJUL_N2_IXJ_WBT.XLSX
Jalapa De DÃ­az Mazatec,N2MAJ/TBL,Latn,MAJTBL,Base_MAZATEC_JALAPA_DE_DIAZ_N2_MAJ_TBL.XLSX
Jamaican Creole English,N2JAM/BSW,Latn,JAMBSW,Base_JAMAICAN_CREOLE_N2_JAM_BSW_FINAL.XLSX
Jola-Fonyi,N2DYO/BSG,Latn,DYOBSG,Base_JOLA_FOGNY_N2_DYO_BSG_MASTER.XLSX
Jur Modo,N2BEX/WBT,Latn,BEXWBT,Base_JURMODO_N2_BEX_WBT.XLSX
Kaansa,N2GNA/WBT,Latn,GNAWBT,Base_KAANSA_N2_GNA_WBT.XLSX
KabiyÃ¨,N2KBP/RCV,Latn,KBPRCV,Base_KABIYE_N2KBPRCV.XLSX
Kagayanen,N2CGC/TBL,Latn,CGCTBL,Base_KAGAYANEN_N2_CGC_TBL.XLSX
Kakwa,N2KEO/BSU,Latn,KEOBSU,Base_KAKWA_N2_KEO_BSU.XLSX
Kalagan,N2KQE/TBL,Latn,KQETBL,Base_KALAGAN_N2_KQE_TBLL.XLSX
Kalanga,N2KCK/BSB,Latn,KCKBSB,Base_KALANGA_N2_KCK_BSB.XLSX
Kankanaey,N2KNE/TBL,Latn,KNETBL,Base_KANKANAEY_N2_KNE_TBL.XLSX
Kaqchikel,N2CKD/WBT,Latn,CKDWBT,Base_CAKCHIQUEL_SOUTH_CENTRAL_N2_CKD_WBT.XLSX
Kaqchikel,N2CKJ/WBT,Latn,CKJWBT,Base_CAKCHIQUEL-XENACOJ_N2_CKJ_WBT.XLSX
Kaulong,N2PSS/BIV,Latn,PSSBIV,Base_KAULONG_N2_PSS_BIV.XLSX
KayapÃ³,N2TXU/TBL,Latn,TXUTBL,Base_KAYAPO_N2_TXU_TBL.XLSX
Keley-I Kallahan,N2IFY/WBT,Latn,IFYWBT,Base_ANTIPOLO_IFUGAO_N2_IFY_WBT.XLSX
Kenga,N2KYQ/WYI,Latn,KYQWYI,Base_KENGA_N2_KYQ_WYI.XLSX
Kenyang,N2KEN/WBT,Latn,KENWBT,Base_KENYANG_N2_KEN_WBT.XLSX
Kera,N2KER/ABT,Latn,KERABT,Base_KERA_N2_KER_ABT.XLSX
K'iche',N2QUC/BLA,Latn,QUCBLA,Base_QUICHE_CATHOLIC_N2_QUC_BLA.XLSX
K'iche',N2CUN/LSM,Latn,CUNLSM,Base_N2_CUN_LSM.XLSX
Kilivila,N2KIJ/PNG,Latn,KIJPNG,Base_KIRIWINA_N2_KIJ_PNG.XLSX
Kim,N2KIA/BSC,Latn,KIABSC,Base_KIM_N2KIABSC.XLSX
KimrÃ©,N2KQP/WBT,Latn,KQPWBT,Base_KIMRE_N2_KQP_WBT.XLSX
Kinaray-A,N2KRJ/WBT,Latn,KRJWBT,Base_KINARAY-A_N2_KRJ_WBT.XLSX
Kouya,N2KYF/WBT,Latn,KYFWBT,Base_KOUYA__N2_KYF_WBT.XLSX
Kukele,N2KEZ/LCN,Latn,KEZLCN,Base_KUKELE_N2_KEZ_LCN.XLSX
Kuman (Papua New Guinea),N2KUE/PNG,Latn,KUEPNG,Base_KUMAN_N2_KUE_PNG.XLSX
Kunda,N2KDN/BSZ,Latn,KDNBSZ,Base_CHIKUNDA_N2_KDN_BSZ.XLSX
Kuo,N2XUO/WBT,Latn,XUOWBT,Base_KUO_N2_XUO_WBT.XLSX
Kutu,N2KDC/PBT,Latn,KDCPBT,Base_N2_KDC_PBT.XLSX
Kuwaa,N2BLH/BSL,Latn,BLHBSL,Base_BELLEH_N2BLHBSL.XLSX
Kwaio,N2KWD/WBT,Latn,KWDWBT,Base_KWAIO_N2KWDWBT_LUK_REV.XLSX
Lahu,N2LHU/TBS,Latn,LHUTBS,Base_LAHU_N2_LHU_TBS.XLSX
Lampung Api,N2LJP/LAI,Latn,LJPLAI,Base_LAMPUNG_N2_LJP_LAI.XLSX
Lango (Uganda),N2LAJ/BSU,Latn,LAJBSU,Base_LANGO_N2_LAJ_BSU_.XLSX
Lashi,N2LSI/BSM,Latn,LSIBSM,Base_LACID_N2_LSI_BSM.XLSX
Latin,N2LTN/NVV,Latn,LTNNVV,Base_LATIN_NOVA_VULGATA__N2_LTN_NVV.XLSX
Ledo Kaili,N2LEW/LAI,Latn,LEWLAI,Base_KAILI_LEDO__N2_LEW_LAI_.XLSX
Lele (Chad),N2LLN/ABT,Latn,LLNABT,Base_LÉLÉ_N2_LLN_ABT.XLSX
Lobi,N2LOB/BSB,Latn,LOBBSB,Base_LOBIRI_N2_LOB_BSB.XLSX
Logo,N2LOG/WYI,Latn,LOGWYI,Base_LOGO_N2_LOG_WYI.XLSX
Lokaa,N2YAZ/TBL,Latn,YAZTBL,Base_LOKAA__N2_YAZ_TBL.XLSX
Loko,N2LOK/LBT,Latn,LOKLBT,Base_LOKO_N2_LOK_LBT.XLSX
Luang,N2LEX/WBT,Latn,LEXWBT,Base_LUANG_N2_LEX_WBT_ERIC_MIXING.XLSX
Lugbara,N2LGG/BSU,Latn,LGGBSU,Base_LUGBARA_N2_LGG_BSU.XLSX
Lundayeh,N2LND/BSM,Latn,LNDBSM,Base_LUN_BAWANG_DAYAH_N2_LND_BSM.XLSX
Luwo,N2LWO/WBT,Latn,LWOWBT,Base_LUWO_N2_LWO_WBT.XLSX
MÃ©nik,N2TNR/NTM,Latn,TNRNTM,Base_MUNIK_N2TNRNTM_.XLSX
MÃ¼ndÃ¼,N2MUH/WBT,Latn,MUHWBT,Base_MUNDU_N2_MUH_WBT.XLSX
Ma'anyan,N2MHY/LAI,Latn,MHYLAI,Base_DAYAK_MAANYAN_N2_MHY_LAI.XLSX
Maasina Fulfulde,N2FFM/TBL,Latn,FFMTBL,Base_FULFULDE_MAASINA_N2_FFM_TBL.XLSX
Maca,N2MCA/WYI,Latn,MCAWYI,Base_MAKA_N2_MCA_WYI.XLSX
Machiguenga,N2MCB/TBL,Latn,MCBTBL,Base_MATSIGENKA_N2_MCB_TBL.XLSX
Macuna,N2MYY/WBT,Latn,MYYWBT,Base_MACUNA_N2_MYY_WBT.XLSX
Macushi,N2MBC/MVA,Latn,MBCMVA,Base_MACUSHI_N2MBCMVA.XLSX
Ma'di,N2MHI/BSU,Latn,MHIBSU,Base_MADI_N2_MHI_BSU.XLSX
Mag-antsi Ayta,N2SGB/TBL,Latn,SGBTBL,Base_AYTA_MAG-ANTSI_N2_SGB_TBL.XLSX
